Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5;Client6;Client7;Client8;Client9;Client10;Client11;Client12;Client13;Client14;Client15;Client16;Client17;Client18;Client19;Client20;Client21;Client22;Client23;Client24;Client25;Client26;Client27;Client28;Client29;Client30;Client31;Client32;Client33;Client34;Client35;Client36;Client37;Client38;Client39;Client40;Client41;Client42;Client43;Client44;Client45;Client46;Client47;Client48;Client49;Client50
33;50;2;2;5;65,84794891;0,6625;0,6608067807;0,6579112599;0,6637768958;0,6623342729;0,6611384326;0,6655888182;0,6581491352;0,6530505641;0,6583294253;0,6550535388;0,6557889798;0,6545082397;0,6545019755;0,6593222994;0,6573642599;0,6610151808;0,6569335426;0,6560033454;0,6542270406;0,66014402;0,655927432;0,6615240767;0,6589948333;0,6633286392;0,6566362451;0,6612558067;0,6534058236;0,6612522924;0,6584599267;0,6582746938;0,6601505331;0,65216483;;;;;;;;;;;;;;;;;
34;50;2;2;5;65,38587121;0,6491323505;0,650827346;0,653929657;0,6586478414;0,6546934346;0,6541929177;0,6498561424;0,6535681287;0,649681875;0,6443755777;0,6631332898;0,6523297491;0,6552043597;0,6585736788;0,6609298046;0,6514475403;0,6532570183;0,6497798554;0,6516290727;0,6587310254;0,6611583681;0,6562957342;0,651059207;0,6573097517;0,6525294374;0,6514183629;0,6514322846;0,6541623564;0,6502508726;0,6569572279;0,654730207;0,6474331085;0,6575513754;0,6549872539;;;;;;;;;;;;;;;;
35;50;2;2;5;64,83056861;0,6471291866;0,6498149761;0,6406352325;0,6475552652;0,6462755798;0,6460533478;0,6525428338;0,6476678291;0,6459233335;0,6472379295;0,6471866174;0,6515497553;0,6490416031;0,6486368831;0,6430789345;0,6561584373;0,6561519316;0,6471067202;0,6468727848;0,6559017017;0,6490055429;0,6501880416;0,6512781381;0,6444735264;0,6495115429;0,6453962387;0,6409108284;0,6479869423;0,6440871935;0,6493746601;0,6407958024;0,6517111511;0,6534804108;0,6484580052;0,6515201046;;;;;;;;;;;;;;;
36;50;2;2;5;64,42300103;0,6500452284;0,6401617251;0,6465043205;0,6375440757;0,6384450945;0,6396158598;0,639739706;0,646646871;0,6403184213;0,6459332813;0,6422864859;0,6389451192;0,6419766984;0,6441421183;0,6457703081;0,6454326249;0,6394309172;0,6495429309;0,6511170989;0,6453896724;0,6519008635;0,6410617674;0,6420342793;0,6475014037;0,646171108;0,6483081554;0,6433790468;0,6431491125;0,6486001234;0,6467982505;0,6488314883;0,6442869996;0,645728079;0,6420435322;0,6355755699;0,6479220343;;;;;;;;;;;;;;
37;50;2;2;5;63,89987768;0,6489447121;0,6359847169;0,6418209965;0,6421034323;0,637348079;0,6425649594;0,6430829358;0,635102324;0,6346688282;0,6351740835;0,6344185509;0,6374023886;0,6386936989;0,6403903904;0,6359791425;0,6381639723;0,6422334559;0,6335446686;0,6393320326;0,6374458249;0,6427046674;0,6354739707;0,6377028427;0,6349820871;0,6296723581;0,6408556273;0,6435353012;0,6453823123;0,6415017934;0,6409284155;0,6377030162;0,6377689335;0,6441080956;0,6403387487;0,642384487;0,6401196916;0,6333931985;;;;;;;;;;;;;
38;50;2;2;5;63,33881371;0,6343414292;0,6302092492;0,6290804665;0,6247659176;0,6379249707;0,631498829;0,6307836477;0,6412168908;0,6322391559;0,6400817996;0,6299217198;0,630052417;0,6335084647;0,6291884279;0,6301650474;0,6368365677;0,6371908539;0,6306094914;0,6399275532;0,6325779699;0,6303111997;0,6311697491;0,6327842038;0,6338977093;0,6397755174;0,6321258733;0,6309829559;0,6320771356;0,6288780033;0,6286566815;0,6382182732;0,6349252857;0,6398339764;0,6356851312;0,6363689605;0,6297464657;0,6354393182;0,6357519017;;;;;;;;;;;;
39;50;2;2;5;62,82319711;0,6289464349;0,6272948726;0,626952545;0,6277952429;0,6300340075;0,6281079801;0,6257125891;0,6268532301;0,6273049645;0,6303199383;0,6299899164;0,6222684086;0,6267973856;0,6264068238;0,630005339;0,6277115614;0,634359401;0,6299465241;0,6261526563;0,6258446947;0,6212409366;0,6335230642;0,6333293881;0,6291955248;0,6317424288;0,6290083575;0,6235119048;0,6241626652;0,6361273554;0,6317986641;0,625514158;0,630148368;0,6290408684;0,6311669829;0,6243992168;0,6300136264;0,6246062407;0,6292755344;0,6244370704;;;;;;;;;;;
40;50;2;2;5;62,40155942;0,6260853501;0,6283207559;0,6300514328;0,6285347044;0,625812385;0,6312288266;0,623433276;0,6244313292;0,6290560472;0,6238995259;0,6240799804;0,6237034309;0,622324159;0,6229407046;0,6243259804;0,6206748202;0,6248615385;0,6236942362;0,6270296667;0,6235098931;0,626292286;0,6234715822;0,6282270892;0,6196536744;0,6217145664;0,617433563;0,619336644;0,6248617427;0,6246706293;0,6218270999;0,6192468619;0,628143163;0,6240186457;0,6257898288;0,6225234619;0,6208767495;0,6147970184;0,6217940852;0,6248772102;0,6230698247;;;;;;;;;;
41;50;2;2;5;61,81357697;0,6191808068;0,6172024434;0,6151565685;0,6187858801;0,6167734779;0,6174758484;0,6242457825;0,6095190939;0,6232053731;0,6199286944;0,61934131;0,6136883069;0,6176797628;0,619059345;0,6188161457;0,6183942147;0,6205643174;0,6152236785;0,6122700901;0,6197000555;0,619803198;0,609962348;0,6201860866;0,6191679507;0,6247837905;0,6243686091;0,6181289804;0,6162668804;0,621250385;0,6203960763;0,6182782437;0,6229437496;0,6187192118;0,6169175716;0,6180273365;0,6190534651;0,6158502687;0,6164695738;0,617155199;0,6130185539;0,6166078832;;;;;;;;;
42;50;2;2;5;61,57680094;0,6165389527;0,6216927819;0,6135793738;0,6207118078;0,6225798179;0,609438463;0,6128351142;0,6124807396;0,6103654229;0,6156219865;0,6161674718;0,6197363369;0,6195071736;0,6153005464;0,6235846629;0,616017483;0,6169967314;0,6105627484;0,6181946584;0,6130026982;0,613738594;0,6113795992;0,6109436141;0,6157559374;0,6142425606;0,6144532001;0,6230641239;0,6135740256;0,6154886056;0,6189831819;0,6125782915;0,6169010467;0,615883827;0,6137793759;0,615902965;0,6114432658;0,6193631393;0,6180488744;0,619756254;0,6138926477;0,6113853452;0,6167829482;;;;;;;;
43;50;2;2;5;61,17296231;0,6130035055;0,6123547561;0,619853134;0,6060446087;0,6092234611;0,6036310628;0,6110084477;0,6093688233;0,6122931442;0,6072491567;0,6142668428;0,6070839654;0,6158288489;0,6137876491;0,6059028922;0,6098380087;0,6099552278;0,607371689;0,6156285091;0,61268989;0,6179554391;0,6128925838;0,6112393642;0,614017769;0,6137307921;0,6131882624;0,6050686378;0,614123664;0,606741573;0,6149588138;0,6088185044;0,6149109448;0,6139445657;0,6182356814;0,6095651602;0,6114855934;0,6010348945;0,6135795977;0,6152324431;0,6132585752;0,6174205017;0,616608587;0,6099782221;;;;;;;
44;50;2;2;5;60,66644087;0,6069732736;0,6059679173;0,5992806732;0,6055793117;0,6025919392;0,6120613887;0,6123503808;0,6058815539;0,6015083571;0,6074139333;0,60850051;0,6017584515;0,6091131998;0,611666892;0,6047757954;0,6036779122;0,604071628;0,5988380041;0,6077106789;0,6030425963;0,6124447467;0,6017271862;0,6203089012;0,6039470127;0,6086602416;0,6106495983;0,6052363142;0,611809215;0,6039751217;0,6137301319;0,6021476145;0,6067423367;0,6092553696;0,603350061;0,6127398001;0,6047965215;0,6060893741;0,5988831381;0,6102751796;0,6072692622;0,6018108789;0,6139257654;0,6042867802;0,6064090352;;;;;;
45;50;2;2;5;60,39845335;0,5995758364;0,6019337585;0,6009612084;0,604172348;0,5975685143;0,6059858914;0,6060002746;0,6130069069;0,6066148663;0,6066588705;0,6087253829;0,6052090473;0,6089523548;0,598257768;0,6025351148;0,6055875103;0,6095979248;0,6056935605;0,600633042;0,6087758868;0,6027593744;0,6081118115;0,6039175258;0,6069937727;0,6001370802;0,6020694854;0,6008539357;0,6015228426;0,5963987402;0,6026371815;0,6037942607;0,6047520661;0,6031648171;0,611258956;0,6026002614;0,6048927156;0,6080284971;0,6067791977;0,6037722861;0,6043047489;0,6009734028;0,6064218287;0,5921043598;0,6021003501;0,6025084419;;;;;
46;50;2;2;5;59,78034891;0,6069724009;0,5940813639;0,6002360947;0,59627286;0,5977836632;0,5987137819;0,6014583333;0,597614259;0,6011271133;0,6016254515;0,5942028986;0,6017932856;0,5897256927;0,6024221453;0,5967249514;0,5994028192;0,5976803945;0,5991692627;0,5989030063;0,5973238553;0,5995409015;0,5998472434;0,6001110417;0,5971348707;0,5961431743;0,5992315753;0,6036273017;0,5956585468;0,5880102928;0,5944758318;0,6041277097;0,5917188587;0,600153118;0,5998048509;0,5980100877;0,5970149254;0,5938734493;0,5987243483;0,59526619;0,5974760361;0,5921171327;0,5952446971;0,5977464399;0,6003334028;0,5964826915;0,5938521455;;;;
47;50;2;2;5;59,67977516;0,5936092956;0,5972584856;0,6009798977;0,5904900181;0,5891837177;0,5938133874;0,5980548701;0,5929139025;0,5964492754;0,5960812772;0,5912445731;0,5967846586;0,597903867;0,6001302272;0,5949385499;0,594825712;0,5966136182;0,5946259985;0,6050438438;0,5956137811;0,5957323689;0,5993777585;0,5990586531;0,5931550647;0,6016395821;0,5939653297;0,5975609756;0,5938243994;0,5985681226;0,5985322685;0,5966991421;0,5964734788;0,5987164696;0,5922280918;0,6009277379;0,5920900693;0,5933453888;0,5990292669;0,5980902778;0,6035370008;0,5944646759;0,597889716;0,5988863981;0,598823273;0,5977061556;0,6041862144;0,5984274898;;;
48;50;2;2;5;59,04762437;0,5974080856;0,5903257651;0,5946953708;0,587545891;0,5927535216;0,5987540705;0,5947164495;0,5910115526;0,593848969;0,5902380448;0,5900967719;0,5865112994;0,5922886452;0,5940405748;0,590754877;0,5838623219;0,5932191393;0,5954139411;0,5868065334;0,5849269635;0,5848657789;0,5820120867;0,5927290766;0,5858934611;0,5890276414;0,5927470663;0,5868259241;0,5856981505;0,6000564294;0,5969528109;0,5906168304;0,5867861933;0,582633251;0,5871727933;0,5952598636;0,5889177976;0,5911274371;0,5800988003;0,5877841109;0,593220339;0,5906040268;0,5842736248;0,5881104034;0,5935930981;0,5970726902;0,5958283587;0,5964949324;0,5872379344;;
49;50;2;2;5;58,85506077;0,5948740675;0,5887912575;0,5865954923;0,5853658537;0,5824159476;0,5925266904;0,5924547957;0,598466416;0,5838846354;0,5801538007;0,5847792092;0,5924388436;0,5902561824;0,5895064012;0,5866557572;0,5880053113;0,5923836389;0,5807428192;0,5893056071;0,5929603557;0,5850526941;0,5863913237;0,5850883027;0,5947731829;0,5839030916;0,5907983162;0,5940888163;0,5953833713;0,5847758544;0,5948702787;0,5812092472;0,5945945946;0,595427214;0,5863815838;0,5869759144;0,5857005118;0,5894783508;0,5822009855;0,5877845559;0,5879790298;0,5905204187;0,580262569;0,5842913298;0,5864684015;0,5874944436;0,5902777778;0,5926062031;0,588793359;0,5928449744;
50;50;2;2;5;58,43063032;0,5793292367;0,5857428085;0,5811649911;0,5803921569;0,5910094173;0,583499815;0,5888512019;0,5874069159;0,586138028;0,5883655692;0,5867633995;0,5827917282;0,5891971883;0,5889506859;0,5851048015;0,5828774213;0,5927873223;0,5858399231;0,5865698192;0,579779765;0,584418467;0,5819410411;0,5863373387;0,5848903331;0,5857449486;0,5836177474;0,5819563293;0,5853964969;0,5862758161;0,5820906595;0,5862043526;0,5809257075;0,5839734121;0,574925816;0,5829875519;0,582821632;0,5847413472;0,5834507303;0,5840577575;0,5812117187;0,5834136219;0,5843027536;0,5813199764;0,5837405598;0,5864224772;0,5792451426;0,5932291281;0,586821934;0,5784690409;0,5778191291
